capability_id,source_kind,page,section,action,triggered_api,expected_result,target_feature_id,disposition,capability_status,legacy_implementation,legacy_verification,implementation_evidence,verification_evidence,domain_owner,canonical_method,canonical_path,canonical_operation_id,actor_scope,security_refs,protocol_refs,external_effect_status,migration_refs,source_evidence,notes,contract_status,domain_status,api_status,pg_status,migration_status,effect_status,shadow_status,deployment_status,resource_ref,action_ref,canonical_actor_scope,main_sha,contract_evidence_ref,domain_evidence_ref,api_evidence_ref,pg_evidence_ref,migration_evidence_ref,effect_evidence_ref,shadow_evidence_ref,deployment_evidence_ref
LEGACY-S05-001,FEATURE_MATRIX,/admin/customers,筛选与分页,查询、清空、上一页、下一页,GET /admin/customers?keyword&owner&mobile&tag&offset,服务端按最多50条渲染客户列表并规范化非负offset,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=https://github.com/qianlan33333-png/AI-CRM-v2/pull/544;sha=e6b44d2842debbad9783fef2e04ab74b2685a9ee;tests=web/src/api/admin.test.ts+web/scripts/e2e.mjs;paths=web/src/admin/controller.ts+web/src/admin/templates/customers.html+web/src/api/admin.ts,method=generated_adapter_contract_and_browser_flow;command=npm_run_admin_adapter_contract+node_web_scripts_e2e_mjs,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-001,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/customers,查询、清空、上一页、下一页,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-002,FEATURE_MATRIX,/admin/customers,客户行,打开客户详情,GET /admin/customers/{unionid},渲染客户详情或缺失占位页,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=https://github.com/qianlan33333-png/AI-CRM-v2/pull/544;sha=e6b44d2842debbad9783fef2e04ab74b2685a9ee;tests=web/src/api/admin.test.ts+web/scripts/e2e.mjs;paths=web/src/admin/controller.ts+web/src/admin/templates/customers.html+web/src/admin/templates/customerDetail.html,method=adapter_contract_and_browser_navigation;command=npm_run_admin_adapter_contract+node_web_scripts_e2e_mjs,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-002,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/customers,打开客户详情,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-003,FEATURE_MATRIX,/admin/customers/{unionid},基础档案,展示客户资料,GET /admin/customers/{unionid},服务端将customer_payload渲染为姓名、手机号、负责人、外部ID与unionid,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=https://github.com/qianlan33333-png/AI-CRM-v2/pull/544;sha=cfe9a7cee9cff13eeceeac6d3fb4eb3e82505d44;tests=web/src/api/admin.test.ts+web/scripts/e2e.mjs;paths=web/src/admin/templates/customerDetail.html+web/src/api/admin.ts+web/src/shared/api/types.ts,method=safe_projection_contract_and_browser_flow;command=npm_run_admin_adapter_contract+node_web_scripts_e2e_mjs,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-003,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/customers/{unionid},展示客户资料,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-004,FEATURE_MATRIX,/admin/customers/{unionid},标签,加载标签,GET /api/admin/customers/profile/tags,返回并渲染标签或空态,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=https://github.com/qianlan33333-png/AI-CRM-v2/pull/272;sha=553f17b2cc911b7fb663f0f25253054a42661f5e;tests=cmd/aicrm/legacy_customer_profile_tags_api_test.go+acceptance/contact/customer_profile_tags_0301_integration_test.go;paths=cmd/aicrm/legacy_customer_profile_tags_api.go+internal/contact/app/customer_detail_service.go+internal/contact/store/customer_detail_repository.go,method=focused_router_and_PG16_local_projection;command=go test ./cmd/aicrm ./acceptance/contact && make feature-matrix-contract,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-004,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/customers/{unionid},加载标签,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-005,FEATURE_MATRIX,/admin/customers/{unionid},问卷,加载问卷答案,GET /api/admin/customers/profile/questionnaire-answers,返回answers、count、latest_assessment_result并渲染,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=https://github.com/qianlan33333-png/AI-CRM-v2/pull/544;sha=bb47abfd46947af6b15365977ec0d085ee6771e7;tests=web/src/api/admin.test.ts+web/scripts/e2e.mjs;paths=web/src/admin/templates/customerDetail.html+web/src/api/admin.ts+web/src/shared/api/client.ts,method=safe_survey_projection_contract_and_browser_flow;command=npm_run_admin_adapter_contract+node_web_scripts_e2e_mjs,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-005,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/customers/{unionid},加载问卷答案,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-006,FEATURE_MATRIX,/admin/customers/{unionid},聊天记录,初始加载,GET /api/admin/customers/profile/messages,默认返回最多30条近期消息,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=/pull/538;sha=d26ea9826ad411902100b29400b547cbb66bd14f;tests=focused_race+OpenAPI_Orval_contract;paths=cmd/aicrm/legacy_customer_profile_messages_api.go+cmd/aicrm/api.go+api/openapi.yaml,method=focused_race+OpenAPI_Orval_generated_contract;command=go_test_race_cmd_aicrm_internal_survey+make_generate-check_orval-check_openapi-p1-contract,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-006,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/customers/{unionid},初始加载,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-007,FEATURE_MATRIX,/admin/customers/{unionid},聊天记录,获取全部聊天记录,GET /api/admin/customers/profile/messages?fetch_all=true,后端将请求上限提高到100条并重新渲染,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=/pull/538;sha=d26ea9826ad411902100b29400b547cbb66bd14f;tests=focused_race+fetch_all_1_true_0_false_compatibility+OpenAPI_Orval_contract;paths=cmd/aicrm/legacy_customer_profile_messages_api.go+cmd/aicrm/api.go+api/openapi.yaml,method=focused_race+legacy_fetch_all_compatibility+OpenAPI_Orval_generated_contract;command=go_test_race_cmd_aicrm_internal_survey+make_generate-check_orval-check_openapi-p1-contract,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-007,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/customers/{unionid},获取全部聊天记录,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-008,FEATURE_MATRIX,/admin/customers/{unionid},缺失态,呈现缺失占位并返回客户列表,GET /admin/customers/{unionid};GET /admin/customers,找不到客户时以原状态码或404渲染placeholder；点击入口返回列表,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=https://github.com/qianlan33333-png/AI-CRM-v2/pull/544;sha=cfe9a7cee9cff13eeceeac6d3fb4eb3e82505d44;tests=web/src/api/admin.test.ts+web/scripts/e2e.mjs;paths=web/src/admin/controller.ts+web/src/admin/templates/customerDetail.html+web/src/api/admin.ts,method=structured_404_contract_and_browser_return_navigation;command=npm_run_admin_adapter_contract+node_web_scripts_e2e_mjs,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-008,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/customers/{unionid},呈现缺失占位并返回客户列表,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-009,FEATURE_MATRIX,/admin/customer-360/{unionid},Customer 360,展示档案或缺失态,GET /admin/customer-360/{unionid},服务端渲染360档案；失败渲染placeholder,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,pr=https://github.com/qianlan33333-png/AI-CRM-v2/pull/544;sha=bb47abfd46947af6b15365977ec0d085ee6771e7;tests=web/src/api/admin.test.ts+web/scripts/e2e.mjs;paths=web/src/admin/controller.ts+web/src/admin/templates/customerDetail.html+web/src/api/admin.ts,method=safe_customer360_contract_and_browser_flow;command=npm_run_admin_adapter_contract+node_web_scripts_e2e_mjs,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-009,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/customer-360/{unionid},展示档案或缺失态,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
LEGACY-S05-010,FEATURE_MATRIX,/admin/wecom-tags,标签目录,首屏加载,GET /api/admin/wecom/tags,消费groups、total_tags、tag_limit、synced_at并渲染,UNMAPPED,BACKEND_REQUIRED,UNMAPPED,IMPLEMENTED,SYNTHETIC_PASS,"https://github.com/qianlan33333-png/AI-CRM-v2/pull/215;b535b3c84930a3bcd919019321d5164ac97be6a7;tests=cmd/aicrm/legacy_tag_api_test.go,internal/contact/app/legacy_tag_catalog_test.go;paths=cmd/aicrm/legacy_tag_api.go,internal/contact/app/legacy_tag_catalog.go,internal/contact/store/legacy_tag_catalog_repository.go",method=local_synthetic;command=go test -race ./internal/contact/app ./internal/contact/store ./cmd/aicrm and cd tools then go test ./openapi-contract;,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,UNMAPPED,docs/feature-matrix.csv:LEGACY-S05-010,"Matrix is source evidence, not V2 completion evidence.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,/admin/wecom-tags,首屏加载,UNMAPPED,d3a66948195ed7671442bf127a0ebedb5c8beb75,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED
