mapping_id,legacy_path,capability_owner,auth_scheme,access_scope,legacy_external_effects,authorization_gate,effect_status,source_evidence,notes
LEGACY-API-0033,/admin/config/mcp-tools,admin_config,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/admin_config/api.py:1294-1296,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0034,/admin/config/mcp-tools/save,admin_config,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/admin_config/api.py:1299-1301,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0042,/admin/config/wecom-tags,admin_config,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/admin_config/api.py:519-521,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0086,/admin/wecom-tags,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/admin_pages.py:16-28,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0241,/api/admin/common/operation-members/sync,common_operation_members,human_session,global,real_requires_approval,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/common_operation_members.py:182-207,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0267,/api/admin/config/mcp-tools,admin_config,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/admin_config/api.py:1304-1314,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0268,/api/admin/config/mcp-tools,admin_config,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/admin_config/api.py:1317-1332,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0318,/api/admin/external-effects/diagnostics,platform_foundation,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:215-240,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0319,/api/admin/external-effects/jobs,platform_foundation,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:185-212,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0320,/api/admin/external-effects/jobs/{job_id},platform_foundation,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:315-328,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0321,/api/admin/external-effects/jobs/{job_id}/cancel,platform_foundation,human_or_service,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:517-546,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0322,/api/admin/external-effects/jobs/{job_id}/retry,platform_foundation,human_or_service,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:485-514,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0323,/api/admin/external-effects/run-due,platform_foundation,human_or_service,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:340-415,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0324,/api/admin/external-effects/run-due/preview,platform_foundation,human_or_service,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:331-337,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0325,/api/admin/external-effects/test-loopback/jobs,platform_foundation,human_or_service,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:427-445,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0326,/api/admin/external-effects/test-receipts,platform_foundation,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:448-474,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0327,/api/admin/external-effects/test-receipts/{receipt_id},platform_foundation,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:477-482,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0328,/api/admin/external-effects/troubleshooting/jobs,platform_foundation,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:281-300,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0329,/api/admin/external-effects/troubleshooting/jobs/{job_id},platform_foundation,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:303-312,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0330,/api/admin/external-effects/troubleshooting/summary,platform_foundation,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:261-278,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0415,/api/admin/payments,commerce,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/extensions/commerce/commerce/api.py:847-899,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0511,/api/admin/webhook-inbox/run-due,platform_foundation,human_or_service,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/webhook_inbox/api.py:477-537,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0513,/api/admin/webhook-inbox/{inbox_id}/dispatch,platform_foundation,human_or_service,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/webhook_inbox/api.py:435-474,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0546,/api/admin/wecom-customer-acquisition-links,automation_engine,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/automation/automation_engine/channels_api.py:871-935,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0547,/api/admin/wecom-customer-acquisition-links/{link_id},automation_engine,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/automation/automation_engine/channels_api.py:938-973,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0548,/api/admin/wecom-customer-acquisition-links/{link_id}/{action},automation_engine,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/automation/automation_engine/channels_api.py:976-1021,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0550,/api/admin/wecom/execution-diagnostics,platform_foundation,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/platform/platform_foundation/external_effects/api.py:243-258,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0551,/api/admin/wecom/tag-groups,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:86-92,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0552,/api/admin/wecom/tag-groups,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:129-131,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0553,/api/admin/wecom/tag-groups/{group_id},customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:134-137,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0554,/api/admin/wecom/tag-groups/{group_id},customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:95-104,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0555,/api/admin/wecom/tags,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:60-65,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0556,/api/admin/wecom/tags,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:140-142,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0557,/api/admin/wecom/tags/live/gate,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:222-224,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0558,/api/admin/wecom/tags/live/mark,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:227-229,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0559,/api/admin/wecom/tags/live/unmark,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:232-234,"No provider, deployment, dispatch, or external effect was run by this baseline."
LEGACY-API-0560,/api/admin/wecom/tags/sync,customer_tags,human_session,global,staging_disabled,EXTERNAL_AUTHORIZATION_REQUIRED,NOT_EXECUTED,aicrm_next/crm/customer_tags/api.py:107-126,"No provider, deployment, dispatch, or external effect was run by this baseline."
