mapping_id,partition,legacy_path,legacy_route_name,manifest_methods,manifest_method_bundle,manifest_path,audience,layer,auth_scheme,requires_auth,csrf,access_scope,capability_owner,legacy_external_effects,candidate_v2_method,candidate_v2_path,candidate_v2_operation_id,target_mapping_id,legacy_disposition,signoff,discrepancy_flags,route_disposition,classification_status,source_evidence,classification,classification_reason,domain_owner_or_reassignment,candidate_v2_api_or_semantics,direct_v2_reference_count,feature_matrix_ids,classification_source_evidence,classification_evidence_refs,classification_notes
LEGACY-API-0001,S04,/admin,api.admin_console_dashboard,GET,GET,/admin,admin,admin_page,human_session,true,false,global,admin_shell,none,GET,/admin,getLegacyAdminShell,P4-ADMIN-SHELL-0001,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/app/admin_console/routes.py:15-39,UI_ONLY,manifest_admin_page,ui/admin_shell,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),1,LEGACY-S07-001,aicrm_next/app/admin_console/routes.py:15-39,legacy-route-disposition-ledger.csv:2;aicrm_next/app/admin_console/routes.py:15-39;legacy-routes-6cb989c.json:route_index=0;api/openapi.yaml:774;docs/feature-matrix.csv:113,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0002,S04,/admin/alipay/transactions,api.admin_alipay_transactions_page,GET,GET,/admin/alipay/transactions,admin,admin_page,human_session,true,false,global,commerce,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/commerce/commerce/api.py:270-276,UI_ONLY,manifest_admin_page,ui/commerce,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S07-002,aicrm_next/extensions/commerce/commerce/api.py:270-276,legacy-route-disposition-ledger.csv:3;aicrm_next/extensions/commerce/commerce/api.py:270-276;legacy-routes-6cb989c.json:route_index=1;docs/feature-matrix.csv:114,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0003,S02,/admin/api-docs,api.admin_api_docs,GET,GET,/admin/api-docs,admin,admin_page,human_session,true,false,global,admin_config,none,GET,/admin/api-docs,getLegacyApiDocsPage,P4-API-DOCS-0003-0033-R2,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/platform/admin_config/api.py:499-516,UI_ONLY,manifest_admin_page,ui/admin_config,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),1,LEGACY-S05-059,aicrm_next/platform/admin_config/api.py:499-516,legacy-route-disposition-ledger.csv:4;aicrm_next/platform/admin_config/api.py:499-516;legacy-routes-6cb989c.json:route_index=2;api/openapi.yaml:809;docs/feature-matrix.csv:60,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0004,S04,/admin/attachment-library,api.admin_attachment_library_workspace,GET,GET,/admin/attachment-library,admin,admin_page,human_session,true,false,global,media_library,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/engagement/media_library/admin_pages.py:37-45,UI_ONLY,manifest_admin_page,ui/media_library,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S07-003,aicrm_next/engagement/media_library/admin_pages.py:37-45,legacy-route-disposition-ledger.csv:5;aicrm_next/engagement/media_library/admin_pages.py:37-45;legacy-routes-6cb989c.json:route_index=3;docs/feature-matrix.csv:115,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0005,S04,/admin/automation-agents,api.admin_automation_agents_page,GET,GET,/admin/automation-agents,admin,admin_page,human_session,true,false,global,automation_agents,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/ai/automation_agents/admin_pages.py:24-45,UI_ONLY,manifest_admin_page,ui/automation_agents,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S07-004,aicrm_next/extensions/ai/automation_agents/admin_pages.py:24-45,legacy-route-disposition-ledger.csv:6;aicrm_next/extensions/ai/automation_agents/admin_pages.py:24-45;legacy-routes-6cb989c.json:route_index=4;docs/feature-matrix.csv:116,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0006,S04,/admin/automation-agents/{agent_id}/edit,api.admin_automation_agent_edit_page,GET,GET,/admin/automation-agents/{agent_id}/edit,admin,admin_page,human_session,true,false,global,automation_agents,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/ai/automation_agents/admin_pages.py:48-71,UI_ONLY,manifest_admin_page,ui/automation_agents,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,LEGACY-S07-005,aicrm_next/extensions/ai/automation_agents/admin_pages.py:48-71,legacy-route-disposition-ledger.csv:7;aicrm_next/extensions/ai/automation_agents/admin_pages.py:48-71;legacy-routes-6cb989c.json:route_index=5;docs/feature-matrix.csv:117,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0007,S03,/admin/automation-conversion,api.admin_automation_conversion,GET,GET,/admin/automation-conversion,admin,admin_page,human_session,true,false,global,ai_audience_ops,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/extensions/ai/ai_audience_ops/admin_pages.py:24-45,UI_ONLY,manifest_admin_page,ui/ai_audience_ops,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/extensions/ai/ai_audience_ops/admin_pages.py:24-45,legacy-route-disposition-ledger.csv:8;aicrm_next/extensions/ai/ai_audience_ops/admin_pages.py:24-45;legacy-routes-6cb989c.json:route_index=6,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0008,S03,/admin/automation-conversion/group-ops/groups/ui,api.admin_group_ops_groups_ui,GET,GET,/admin/automation-conversion/group-ops/groups/ui,admin,admin_page,human_session,true,false,global,automation_engine,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/automation/automation_engine/group_ops/admin_pages.py:69-77,UI_ONLY,manifest_admin_page,ui/automation_engine,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/automation/automation_engine/group_ops/admin_pages.py:69-77,legacy-route-disposition-ledger.csv:9;aicrm_next/automation/automation_engine/group_ops/admin_pages.py:69-77;legacy-routes-6cb989c.json:route_index=7,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0009,S03,/admin/automation-conversion/group-ops/plans/{plan_id:int},api.admin_group_ops_plan_detail,GET,GET,/admin/automation-conversion/group-ops/plans/{plan_id:int},admin,admin_page,human_session,true,false,global,automation_engine,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/automation/automation_engine/group_ops/admin_pages.py:57-66,UI_ONLY,manifest_admin_page,ui/automation_engine,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/automation/automation_engine/group_ops/admin_pages.py:57-66,legacy-route-disposition-ledger.csv:10;aicrm_next/automation/automation_engine/group_ops/admin_pages.py:57-66;legacy-routes-6cb989c.json:route_index=8,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
LEGACY-API-0010,S03,/admin/automation-conversion/group-ops/ui,api.admin_group_ops_ui,GET,GET,/admin/automation-conversion/group-ops/ui,admin,admin_page,human_session,true,false,global,automation_engine,none,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,UI_ONLY,FRONTEND_INTEGRATION_DEFERRED,aicrm_next/automation/automation_engine/group_ops/admin_pages.py:46-54,UI_ONLY,manifest_admin_page,ui/automation_engine,V2_NEW_SEMANTICS:UI_ONLY_PAGE_OR_REDIRECT(no_backend_api_inferred),0,NONE,aicrm_next/automation/automation_engine/group_ops/admin_pages.py:46-54,legacy-route-disposition-ledger.csv:11;aicrm_next/automation/automation_engine/group_ops/admin_pages.py:46-54;legacy-routes-6cb989c.json:route_index=9,页面/跳转路由；不得作为后端 API 完成项计数。页面所需 API 需由独立 backend rows/contract 覆盖.
