domain,source_entity,selection_rule,target_entity,identity_rule,transform_rule,state_override,excluded_fields,source_count,target_count,digest_method,orphan_policy
identity,customers,"MIGRATE: referenced by core order questionnaire membership entitlement or HXC current state",customers,"MIGRATE: preserve stable source customer id",MIGRATE: retain id and timestamps,active,"CLEAR: name avatar gender stage owner channel interaction and profile fields",,,SHA-256 over canonical source JSON,REJECT: missing core customer
identity,customers,"MIGRATE: same selected customer set",source_subject_refs,"MIGRATE: one digest-only stable reference per customer",MIGRATE: SHA-256 source reference,legacy_stable,"CLEAR: raw external identifiers and historical identity values",,,SHA-256 over canonical source JSON,REJECT: conflicting core identity
product,products,"MIGRATE: current products and service-period products",products,MIGRATE: preserve product id,MIGRATE: preserve current business fields,,"CLEAR: images materials staff tags and legacy campaign linkage",,,SHA-256 over canonical source JSON,REJECT: invalid current product
order,order_list_projections,"MIGRATE: final current order facts",order_list_projections,MIGRATE: exact customer_id required,MIGRATE: preserve provider amount currency status product and timestamps,,"CLEAR: payer name mobile raw identity and mutable provider payload",,,SHA-256 over canonical source JSON,REJECT: missing customer or product
order,order_historical_refunds,"MIGRATE: final refund facts only",order_refund_facts,MIGRATE: inherit order customer relation,MIGRATE: flatten immutable final refund fact,,"ARCHIVE_NOT_ON_V2: attempts callbacks and provider history",,,SHA-256 over canonical source JSON,REJECT: missing order
questionnaire,questionnaires,"MIGRATE: current definitions questions and options",questionnaires,MIGRATE: preserve questionnaire id,MIGRATE: reset derived submission counter,,"ARCHIVE_NOT_ON_V2: old campaign and staff linkage",,,SHA-256 over canonical source JSON,REJECT: invalid definition
questionnaire,questionnaire_submissions,"MIGRATE: submissions with exactly one stable identity match",questionnaire_submissions,MIGRATE: exact identity match to customer_id,MIGRATE: preserve answers result score and timestamps,,"CLEAR: respondent key openid unionid external userid name mobile campaign and staff",,,SHA-256 over canonical source JSON,REJECT: zero or conflicting identity matches
membership,product_local_entitlements,"MIGRATE: current entitlements",product_local_entitlements,MIGRATE: exact customer_id required,MIGRATE: preserve current state and settlement fact,,"ARCHIVE_NOT_ON_V2: old usage and operation history",,,SHA-256 over canonical source JSON,REJECT: missing customer product or order
membership,service_period_members,"MIGRATE: current service-period membership",service_period_members,MIGRATE: exact customer_id required,MIGRATE: preserve current state validity and note,,"ARCHIVE_NOT_ON_V2: events HXC history and staff history",,,SHA-256 over canonical source JSON,REJECT: missing customer or service product
radar,radar_links,"MIGRATE: current definitions",radar_links,MIGRATE: no customer relation,MIGRATE: preserve name URL status and current configuration,,"CLEAR: cover attachment and old material references; ARCHIVE_NOT_ON_V2: click history",,,SHA-256 over canonical source JSON,REJECT: invalid current definition
channel,channels,"MIGRATE: current channel definitions",channels,MIGRATE: no customer relation,MIGRATE: preserve business configuration,unconfigured when required configuration is absent,"CLEAR: staff tags welcome materials contacts and acquisition events",,,SHA-256 over canonical source JSON,REJECT: invalid current definition
audience,ai_audience_package_metadata,"MIGRATE: only whole packages whose member customer mapping is complete; ARCHIVE_NOT_ON_V2: any package with a mapping problem",segments,MIGRATE: every migrated member already has customer_id,MIGRATE: copy definition version and frozen members,paused,"ARCHIVE_NOT_ON_V2: skipped package; CLEAR: legacy staff tag and execution linkage",,,SHA-256 over canonical source JSON,ARCHIVE_NOT_ON_V2: skip whole package and recreate with V2 logic
automation,automation_agent_configurations,"MIGRATE: non-archived business configuration only",automation_agent_configurations,MIGRATE: preserve local actor ids,MIGRATE: prompts scripts tone scenario and model parameters,paused and execution_enabled=false,"CLEAR: all material ids; ARCHIVE_NOT_ON_V2: smoke realtest jobs attempts sends and provider history",,,SHA-256 over canonical source JSON,REJECT: invalid business configuration
hxc,hxc_user_current,"MIGRATE: PR 602 current state and current sync receipts only",hxc_user_current,MIGRATE: customer_id when already stable,MIGRATE: preserve current state and sync receipt,,"ARCHIVE_NOT_ON_V2: HXC historical events logs and conversations",,,SHA-256 over canonical source JSON,REJECT: invalid current-state row
