mapping_id,legacy_path,manifest_methods,manifest_path,audience,auth_scheme,requires_auth,csrf,access_scope,capability_owner,candidate_v2_method,candidate_v2_path,candidate_v2_operation_id,target_mapping_id,legacy_disposition,signoff,discrepancy_flags,legacy_external_effects,protocol_status,source_evidence,external_effect_status,notes,caller,provider,direction,signature,encryption,oauth,request_contract,response_contract,error_contract,ack_contract,sla_contract,replay_contract,capability_ref,effect_ref,contract_status,adapter_status,fixture_status,sandbox_status,production_route_status
LEGACY-API-0564,/api/ai-assist/external/campaign-preparations,POST,/api/ai-assist/external/campaign-preparations,external_integration,api_client_jwt,true,false,service,ai_assist,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_assist/api.py:84-99,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0565,/api/ai-assist/external/campaign-preparations/{preparation_id},GET,/api/ai-assist/external/campaign-preparations/{preparation_id},external_integration,api_client_jwt,true,false,service,ai_assist,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_assist/api.py:102-109,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0566,/api/ai-assist/external/campaign-preparations/{preparation_id}/commit,POST,/api/ai-assist/external/campaign-preparations/{preparation_id}/commit,external_integration,api_client_jwt,true,false,service,ai_assist,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,DEFERRED_POST_LAUNCH,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_assist/api.py:112-125,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0567,/api/ai-assist/external/campaigns,POST,/api/ai-assist/external/campaigns,external_integration,api_client_jwt,true,false,service,ai_assist,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_assist/api.py:67-76,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0568,/api/ai-assist/external/campaigns/{campaign_code},GET,/api/ai-assist/external/campaigns/{campaign_code},external_integration,api_client_jwt,true,false,service,ai_assist,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_assist/api.py:79-81,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0569,/api/ai/agents/{agent_code}/audience-webhook,POST,/api/ai/agents/{agent_code}/audience-webhook,callback,webhook_hmac,true,false,single_resource,automation_agents,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/automation_agents/api.py:29-43,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0570,/api/ai/audience/health,GET,/api/ai/audience/health,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:240-242,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0571,/api/ai/audience/outbound-subscriptions/{subscription_id},PATCH,/api/ai/audience/outbound-subscriptions/{subscription_id},external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,RETIRED_OUTBOUND_SUBSCRIPTION_CONFIGURATION_NOT_ENABLED,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:175-178,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0572,/api/ai/audience/outbound-subscriptions/{subscription_id}/pause,POST,/api/ai/audience/outbound-subscriptions/{subscription_id}/pause,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,RETIRED_OUTBOUND_SUBSCRIPTION_CONFIGURATION_NOT_ENABLED,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:181-184,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
LEGACY-API-0573,/api/ai/audience/packages,GET,/api/ai/audience/packages,external_integration,api_client_jwt,true,false,service,ai_audience_ops,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,PENDING_HUMAN_DESIGN,UNMAPPED,MIGRATE,APPROVED,NONE,none,INVENTORIED,aicrm_next/extensions/ai/ai_audience_ops/api.py:58-60,NOT_EXECUTED,"Protocol endpoint is inventoried; method, auth, acknowledgement, and adapter contract remain unmapped unless independently evidenced.",UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,UNMAPPED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED,NOT_EXECUTED
